,track_name,album,artist,release_date,length,popularity,danceability_x,energy_x,key_x,loudness_x,mode_x,speechiness_x,acousticness_x,instrumentalness_x,liveness_x,valence_x,tempo_x,time_signature_x,genre,danceability_y,energy_y,key_y,loudness_y,mode_y,speechiness_y,acousticness_y,instrumentalness_y,liveness_y,valence_y,tempo_y,time_signature_y,predicted_genre,actual_genre
4039,All The Sad Young Men,Moth Boys,Spector,2015-08-21,280223,39,0.585,0.7440000000000001,6,-7.403,1,0.0292,0.000106,0.444,0.14300000000000002,0.0793,117.99600000000001,4,Rock,0.585,0.7440000000000001,6.0,-7.403,1.0,0.0292,0.000106,0.444,0.14300000000000002,0.0793,117.99600000000001,4.0,1.0,1.0
4043,Call You Up,Viola Beach,Viola Beach,2016-07-29,298026,52,0.4479999999999999,0.601,1,-7.447999999999999,0,0.0473,0.2289999999999999,0.0,0.1369999999999999,0.237,131.189,4,Rock,0.4479999999999999,0.601,1.0,-7.447999999999999,0.0,0.0473,0.2289999999999999,0.0,0.1369999999999999,0.237,131.189,4.0,1.0,1.0
4054,Worrying,Worrying,Clean Cut Kid,2020-12-11,196613,41,0.664,0.47600000000000003,4,-11.222999999999999,1,0.0576,0.5820000000000001,0.0084,0.157,0.759,82.07700000000001,4,Rock,0.664,0.47600000000000003,4.0,-11.222999999999999,1.0,0.0576,0.5820000000000001,0.0084,0.157,0.759,82.07700000000001,4.0,0.0,1.0
4061,Without Your Love,Always In My Head,APRE,2020-11-06,199546,42,0.7190000000000001,0.795,8,-4.721,1,0.0365,0.0811,7.42e-06,0.149,0.7440000000000001,120.065,4,Rock,0.7190000000000001,0.795,8.0,-4.721,1.0,0.0365,0.0811,7.42e-06,0.149,0.7440000000000001,120.065,4.0,3.0,1.0
4064,Breakfast,Breakfast,Anteros,2016-04-01,186053,41,0.491,0.812,7,-4.601,0,0.0587,0.0049299999999999,3.9299999999999986e-05,0.0731,0.705,170.043,4,Rock,0.491,0.812,7.0,-4.601,0.0,0.0587,0.0049299999999999,3.9299999999999986e-05,0.0731,0.705,170.043,4.0,1.0,1.0
4066,Plant Trees,Plant Trees,Chappaqua Wrestling,2018-08-17,242000,34,0.618,0.7659999999999999,7,-8.62,1,0.0487,0.0393,0.00763,0.18,0.47700000000000004,125.993,4,Rock,0.41,0.67,7.0,-9.418,1.0,0.146,0.0522,0.8690000000000001,0.159,0.179,119.975,4.0,4.0,4.0
4067,Terrible 22's,Terrible 22's,hometown & young,2020-04-17,242000,34,0.715,0.621,2,-8.3,1,0.0803,0.0083299999999999,1.37e-06,0.322,0.541,128.029,4,Rock,0.41,0.67,7.0,-9.418,1.0,0.146,0.0522,0.8690000000000001,0.159,0.179,119.975,4.0,4.0,4.0
4068,Evening Side - Oneohtrix Point Never Edit,Evening Side (Oneohtrix Point Never Edit),Four Tet,2016-03-04,242000,34,0.41,0.67,7,-9.418,1,0.146,0.0522,0.8690000000000001,0.159,0.179,119.975,4,electronic,0.41,0.67,7.0,-9.418,1.0,0.146,0.0522,0.8690000000000001,0.159,0.179,119.975,4.0,4.0,4.0
4070,Looking at You,Looking at You,Only The Poets,2019-02-01,230739,35,0.5589999999999999,0.74,0,-6.18,1,0.0432,0.0788,0.0,0.163,0.514,142.05100000000004,4,Rock,0.5589999999999999,0.74,0.0,-6.18,1.0,0.0432,0.0788,0.0,0.163,0.514,142.05100000000004,4.0,3.0,1.0
4071,Social Potions,Social Potions EP,Lady Bird,2018-02-23,133160,20,0.583,0.883,1,-5.268,1,0.141,0.00168,0.0,0.307,0.767,112.84,4,Rock,0.583,0.883,1.0,-5.268,1.0,0.141,0.00168,0.0,0.307,0.767,112.84,4.0,1.0,1.0
4076,Paddling,Paddling,Squid,2021-03-16,375626,46,0.41200000000000003,0.655,2,-8.931000000000003,1,0.0538,0.000429,0.0487,0.29,0.102,88.573,4,Rock,0.41200000000000003,0.655,2.0,-8.931000000000003,1.0,0.0538,0.000429,0.0487,0.29,0.102,88.573,4.0,1.0,1.0
4078,John Cooper Clarke,Working Men's Club,Working Men's Club,2020-10-02,327306,44,0.647,0.8740000000000001,7,-6.582999999999998,1,0.0443,0.0207,0.609,0.18,0.8759999999999999,120.04299999999999,4,Rock,0.647,0.8740000000000001,7.0,-6.582999999999998,1.0,0.0443,0.0207,0.609,0.18,0.8759999999999999,120.04299999999999,4.0,4.0,1.0
4079,Bye Bye Blackbird,The Ultimate Headphone & Hi-Fi Album,Various Artists,2019-11-01,327306,44,0.557,0.23600000000000002,7,-18.582,0,0.0363,0.531,0.7829999999999999,0.0868,0.3279999999999999,139.57299999999998,4,Jazz,0.647,0.8740000000000001,7.0,-6.582999999999998,1.0,0.0443,0.0207,0.609,0.18,0.8759999999999999,120.04299999999999,4.0,4.0,1.0
